Component,Length,Width,Height,Edges,Colors,Material,Elasticity,Connection,Cost (USD)
Comp1,112.01863326582833,181.7783223481299,39.058385152026126,4,0,0,1,0,601.583439642125
Comp2,144.4619264426218,155.93922987623458,68.95766017707554,3,4,3,1,0,433.0299533508588
Comp3,122.53885833397055,69.96330464558517,137.6679898729253,5,0,1,1,0,909.5472932434203
Comp4,111.25222068439489,20.81477104765937,17.325485576032975,0,3,0,2,1,191.42409691919116
Comp5,87.61268587108641,84.41202842569243,123.41362793225049,2,0,2,1,1,699.2397597760345
Comp6,130.94935204799793,50.285657723333834,98.14106806090113,4,3,1,2,1,970.5234511980306
Comp7,90.32950619622504,30.83508877780668,60.379995468609714,3,3,1,2,0,179.39914196527474
Comp8,178.89573515250555,15.418300448430927,51.49058978019131,1,2,2,1,0,205.9565962820822
Comp9,192.9142382977007,146.49090102106285,105.32998494325756,4,2,3,0,0,695.2547219788668
Comp10,79.77109617102666,7.22835443188105,76.74587820472306,2,4,1,0,0,780.2581549022893
Comp11,159.38638242611958,155.26324595804138,94.02137879621779,2,4,0,2,1,493.0963095199631
Comp12,108.13450935181638,33.65459585307313,70.80808944402678,5,1,2,0,0,611.6380328213858
Comp13,115.7686894133168,20.50680610441737,194.24627025121563,2,1,0,0,0,216.61899676776963
Comp14,185.4913444670689,22.47259167652805,31.020689190392783,0,4,2,2,1,479.2311574244894
Comp15,18.852031348587953,136.0493224340133,23.87677086978297,3,2,2,1,0,116.51152147054057
Comp16,21.99021344180044,52.84660592130473,71.96138711422863,4,3,1,2,0,324.8148156492864
Comp17,8.942587500863516,87.0051960026192,120.2502456697458,3,1,2,1,0,288.35580650579953
Comp18,167.36086988184792,113.68691430816381,133.5394120107555,5,2,1,1,0,447.4022333019079
Comp19,156.74056643522084,172.80747889661478,82.4650656977682,3,3,2,2,0,930.4757304324785
Comp20,174.65236890812974,146.773631228709,199.85920881482338,0,1,1,0,0,185.36132383710319
Comp21,195.83057673538897,57.71394152154935,73.61913425764331,0,2,1,1,1,404.3813053915969
Comp22,160.8359200222611,30.639145861769883,145.67430025219073,2,4,3,2,1,617.5192330140965
Comp23,94.9884756393217,15.7979924821336,129.3286254335046,3,2,1,2,1,946.8243006436317
Comp24,157.2031893758588,63.81173372378378,163.54550333325483,5,1,1,2,1,137.48245057808933
Comp25,28.06351304444198,56.11303910173726,195.3640043734949,0,3,1,1,1,918.287233908148
Comp26,129.78459915886714,93.94741052609353,178.50976300688035,5,1,3,0,1,85.64851969089123
Comp27,32.95389104476405,138.2398604317977,154.08958499975316,2,0,0,0,1,483.3376901744631
Comp28,189.21043882466887,140.64696189957715,141.15845317456666,4,4,0,2,0,457.31691789433035
Comp29,106.76042274126398,60.286175083522494,70.42214308680043,0,0,3,1,0,213.55471523280957
Comp30,85.8590782981521,79.0857564005235,33.798687750307934,0,1,1,0,0,350.72236977526825
Comp31,56.58834436040226,40.324437538696095,17.214020596662905,4,1,1,2,0,456.8944420066561
Comp32,155.97556943967226,158.76637489977114,52.17083231928954,4,2,2,0,0,865.8854055960761
Comp33,93.94931478222696,16.08537490448186,89.29488883035323,0,2,0,0,0,955.288824646692
Comp34,115.84462002938646,140.91446213637252,106.78927335784658,4,0,1,1,0,521.3310502439793
Comp35,8.664011085089253,156.84560220851515,155.75129304069998,4,2,1,2,1,870.7492913429497
Comp36,125.43892192979602,156.59447456050685,191.95447999603564,2,2,0,0,0,610.1307277483955
Comp37,124.35866593087218,55.58740004734421,27.87749367503815,0,0,1,0,1,352.34190527773706
Comp38,125.3021293905776,77.89356189684948,25.865807337789356,4,2,3,1,0,198.22323657540173
Comp39,189.03087531035172,119.58192886329586,119.9904709876424,2,0,1,1,1,416.06909792385096
Comp40,137.95495832517926,58.20027097277107,150.35262441972213,0,3,1,0,0,525.2101615092286
Comp41,75.10404061188827,77.3162958474883,170.38932416766204,0,0,0,1,1,49.2211713182584
Comp42,90.22123099087159,43.42558463619973,187.48725564227377,0,2,3,1,0,150.11196004149647
Comp43,141.03808320581663,94.67189733242144,196.7681172408252,4,4,2,2,1,602.1835018615328
Comp44,16.743966967707617,13.699398744552246,82.96132998378255,4,4,0,2,0,228.87658670377627
Comp45,135.0195095119052,160.96019749127052,79.16536078787676,3,0,2,0,0,838.139744200891
Comp46,135.7743845755411,20.006507162393383,33.82269195596811,2,4,2,0,0,330.30753852531967
Comp47,46.024599409398974,106.17285402214758,138.5622155432941,3,4,3,0,1,109.31003621698463
Comp48,30.140628042696395,64.82796941131323,133.06858189596323,5,2,2,1,0,88.11293561254044
Comp49,66.50852843021585,117.62087502211821,173.1022061909854,2,3,3,2,0,937.4374054291208
Comp50,75.92360033381141,192.0895014625179,23.965308983589924,1,3,1,0,1,122.43020968566978
Comp51,116.18837023148653,130.88619766892077,102.06649702594164,3,2,3,2,1,145.20521534124973
Comp52,90.52729512515246,11.895674972320728,118.3109762860523,5,3,0,1,1,863.3527276430892
Comp53,197.7328984215491,88.92847570407194,52.10362280778409,0,0,2,2,0,258.01668962595727
Comp54,24.898738095865475,104.45328620205879,37.95995419518645,5,3,3,1,1,667.6216537006441
Comp55,45.73096743849276,109.55461146717315,172.6182631018262,1,4,0,0,0,817.6420585947419
Comp56,36.455355987574265,137.87153956774839,16.414309835933963,1,2,3,1,1,609.1447369295412
Comp57,132.3561234657527,59.13123905769439,96.77107626402422,1,1,2,1,1,957.7011007306102
